OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-1376,2020-025AR,2026-01-02T20:44:42.000000,15.06303432,.0001521,53.0539,22.1212,92.2397,225.3419,0,C,45570,2,1,.10305E-1,.15404E-2,0,2.493,SpaceX-E
STARLINK-1320,2020-025AT,2026-01-02T20:02:41.999971,15.54316423,.0006859,53.0552,307.1637,112.4340,2.8848,0,C,45572,2,1,.22087E-2,.14828E-2,0,0.249,SpaceX-E
STARLINK-1321,2020-025AU,2026-01-02T20:40:41.999981,15.31482685,.0001525,53.0552,10.8911,76.4240,221.0759,0,C,45573,2,1,.16686E-1,.52389E-2,0,2.045,SpaceX-E
STARLINK-1328,2020-025AX,2026-01-02T20:52:42.000038,16.03587988,.000238,53.0448,313.6919,158.2513,236.8159,0,C,45576,2,1,.11418E-2,.77938E-2,0,0.269,SpaceX-E
STARLINK-1331,2020-025AZ,2026-01-02T20:30:42.000019,15.06368839,.0001462,53.0548,12.1636,88.8415,10.9089,0,C,45578,2,1,.95659E-3,.14271E-3,0,0.268,SpaceX-E
STARLINK-1333,2020-025BB,2026-01-02T20:36:41.999962,15.06395775,.0001355,53.0541,22.1439,92.8021,354.5528,0,C,45580,2,1,-.45404E-3,-.67748E-4,0,0.433,SpaceX-E
STARLINK-1335,2020-025BC,2026-01-02T20:31:41.999981,15.06419269,.0001129,53.0536,12.1619,88.3313,315.1697,0,C,45581,2,1,-.11701E-2,-.17465E-3,0,0.527,SpaceX-E
STARLINK-1337,2020-025BD,2026-01-02T20:36:41.999962,15.06402117,.0001414,53.0540,12.1475,86.7573,215.5668,0,C,45582,2,1,-.48532E-4,-.7244E-5,0,0.365,SpaceX-E
STARLINK-1347,2020-025BH,2026-01-02T20:34:42.000038,15.41977077,.0003627,53.0525,344.2624,61.9055,189.0359,0,C,45586,2,1,.32257E-2,.1405E-2,0,0.273,SpaceX-E
STARLINK-1364,2020-025BL,2026-01-02T20:39:42.000019,15.06377001,.000137,53.0536,12.1379,90.7422,202.8884,0,C,45589,2,1,.98298E-3,.14668E-3,0,0.267,SpaceX-E
